gene_id	transcript_id(s)	Control_R1	Control_R2	Control_R3	Control_R4	DPN_R1	DPN_R2	DPN_R3	DPN_R4	OHT_R1	OHT_R2	OHT_R3	OHT_R4
STBD1	NM_003943.4	687.97	121.62	296.96	469.87	632.28	143.27	602.39	931.35	476.18	190.23	308.35	1279.65
STC1	NM_003155.2	212.00	226.00	71.00	105.00	169.00	245.00	203.00	209.00	125.00	202.00	99.00	219.00
STC2	NM_003714.2	43.00	24.00	207.00	155.00	44.00	20.00	642.00	255.00	33.00	22.00	251.00	386.00
STEAP1	NM_012449.2	9.00	1.00	17.44	8.00	9.00	5.00	35.53	13.00	3.00	3.00	19.00	20.76
STEAP1B	NM_001164460.1,NM_207342.2	2.00	6.00	6.56	1.00	0.00	4.00	10.47	2.00	0.00	8.00	4.00	6.24
STEAP2	NM_001040665.1,NM_001040666.1,NM_001244944.1,NM_001244945.1,NM_001244946.1,NM_152999.3,XM_006715921.1,XM_006715922.1	255.00	131.00	151.00	123.00	228.00	182.00	376.00	251.00	187.00	144.00	179.00	221.00
STEAP2-AS1	rna33626	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
STEAP3	NM_001008410.1,NM_018234.2,NM_182915.2,XM_006712613.1,XM_006712614.1,XM_006712615.1	1475.00	4197.00	1176.00	2088.00	1255.00	5640.00	2702.00	4675.00	1170.00	4596.00	1164.00	4823.00
STEAP4	NM_001205315.1,NM_001205316.1,NM_024636.3	0.00	1.00	7.00	1.00	1.00	3.00	6.00	3.00	1.00	1.00	3.00	3.00
STH	NM_001007532.2	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
STIL	NM_001048166.1,NM_001282936.1,NM_001282937.1,NM_001282938.1,NM_001282939.1,NM_003035.2,XM_006710834.1,XM_006710835.1	20.00	20.00	33.00	26.00	12.00	20.00	63.00	52.00	17.00	27.00	36.00	48.00
STIM1	NM_001277961.1,NM_001277962.1,NM_003156.3	2368.00	843.00	427.00	413.00	1812.00	1008.00	879.00	819.00	1582.00	987.00	387.00	931.00
STIM2	NM_001169117.1,NM_001169118.1,NM_020860.3	165.00	121.00	198.00	149.00	144.00	134.00	382.00	276.00	114.00	128.00	139.00	284.00
STIP1	NM_001282652.1,NM_001282653.1,NM_006819.2	1141.00	1155.00	1296.00	923.00	942.00	1318.00	2333.00	1761.00	810.00	1372.00	1068.00	2135.00
STK10	NM_005990.3	329.00	127.00	310.00	257.00	262.00	144.00	583.00	425.00	191.00	154.00	270.00	591.00
STK11	NM_000455.4,XM_005259617.1,XM_005259618.2	898.74	643.68	535.42	679.50	863.34	743.74	1070.93	1274.43	697.65	707.56	424.78	1307.85
STK11IP	NM_052902.2,XM_006712227.1,rna14172	221.00	204.00	248.00	281.00	198.00	229.00	485.00	445.00	176.00	251.00	194.00	572.00
STK16	NM_001008910.2,rna14107	534.27	282.42	263.41	247.43	432.38	308.43	497.57	436.16	361.01	300.69	210.90	427.67
STK17A	NM_004760.2	154.00	84.00	185.00	133.00	128.00	98.00	345.00	211.00	100.00	120.00	167.00	238.00
STK17B	NM_004226.3	91.00	54.00	101.00	159.00	84.00	43.00	176.00	206.00	59.00	63.00	117.00	265.00
STK19	NM_004197.1,NM_032454.1,rna28586	169.86	202.10	191.18	144.57	171.43	239.95	428.76	268.75	119.23	231.25	197.80	363.62
STK24	NM_001032296.3,NM_001286649.1,NM_003576.4,XM_005254078.2,XM_005254079.2	1276.00	812.00	889.00	902.00	1197.00	944.00	1679.00	1545.00	881.00	1024.00	759.00	1785.00
STK25	NM_001271977.1,NM_001271978.1,NM_001271979.1,NM_001271980.1,NM_001282305.1,NM_001282306.1,NM_001282307.1,NM_001282308.1,NM_006374.4,XM_006712197.1,XM_006712198.1	1266.84	861.99	1089.84	1106.55	1166.99	901.97	2312.98	1951.74	887.99	918.80	1006.94	2258.76
STK3	NM_001256312.1,NM_001256313.1,NM_006281.3,XM_005251034.1	347.00	309.00	277.00	255.00	313.00	389.00	582.00	432.00	259.00	392.00	287.00	476.00
STK31	NM_001260504.1,NM_001260505.1,NM_031414.4,NM_032944.3,XM_005249811.2,XM_006715758.1,rna32245	0.00	0.00	1.00	1.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
STK32A	NM_001112724.1,NM_001287740.1,NM_145001.3	0.00	0.00	0.00	0.00	0.00	0.00	6.00	0.00	0.00	0.00	0.00	0.00
STK32B	NM_018401.1,XM_005247982.1,XM_005247983.2,XM_006713893.1,XM_006713894.1	4.00	10.00	31.00	11.00	9.00	9.00	67.00	14.00	9.00	10.00	38.00	19.00
STK32C	NM_173575.2,XM_006717781.1,rna46325	120.00	77.00	72.00	87.00	174.00	127.00	137.00	183.00	86.00	81.00	65.00	194.00
STK33	NM_001289058.1,NM_001289059.1,NM_001289061.1,NM_030906.3,XM_006718278.1,XM_006718279.1,XM_006718280.1,rna47115	198.00	90.00	61.00	67.00	214.00	100.00	125.00	155.00	152.00	91.00	63.00	137.00
STK35	NM_080836.3	513.00	358.00	387.00	481.00	460.00	400.00	819.00	784.00	335.00	407.00	371.00	947.00
STK36	NM_001243313.1,NM_015690.4,XM_005246464.1,XM_006712420.1,XM_006712421.1	290.00	146.00	321.00	383.00	273.00	170.00	618.00	647.00	255.00	193.00	247.00	684.00
STK38	NM_007271.2,XM_005248839.1,XM_006714988.1,XM_006714989.1,XM_006714990.1	358.00	287.00	334.00	370.00	320.00	299.00	651.00	565.00	260.00	326.00	333.00	687.00
STK38L	NM_015000.3,XM_005253342.1,XM_005253343.1,XM_006719058.1,XM_006719059.1	2637.00	1005.00	911.00	1030.00	2229.00	1081.00	1705.00	1567.00	2073.00	1154.00	854.00	2475.00
STK39	NM_013233.2,XM_005246465.1,XM_005246466.2	516.00	269.00	418.00	366.00	447.00	307.00	801.00	637.00	346.00	345.00	414.00	899.00
